"Term","Estimate","Std.Error","t.value","p.value"
"(Intercept)","    2697.","   NA","   NA",""
"avg_score_Q1","11.12","2.141","5.195","*"
"avg_score_Q2","-10.55","2.527","-4.174","*"
"avg_score_Q3","-5.042","2.360","-2.136","*"
"avg_score_Q4","-5.779","2.624","-2.202","*"
"avg_score_Q5","4.738","2.516","1.883",""
"avg_score_Q6","4.213","2.050","2.056","*"
"avg_score_Q7","-29.26","2.202","-13.29","*"
"avg_score_Q8","0.4872","2.463","0.1978",""
"avg_score_Q9","-4.339","3.082","-1.408",""
"avg_score_Q10","12.43","2.888","4.305","*"
"avg_score_Q11","14.71","2.431","6.049","*"
"avg_score_Q12","-7.111","2.216","-3.209",""
"avg_score_Q15","-4.669","2.428","-1.923",""
"avg_score_Q16","2.601","2.800","0.9290",""
"avg_score_Q17","25.49","2.668","9.554","*"
"avg_score_Q18","17.33","2.897","5.981","*"
"avg_score_Q19","-22.08","2.746","-8.040","*"
"avg_score_Q20","30.29","2.583","11.73","*"
"avg_score_Q21","-0.3336","2.825","-0.1181",""
"avg_score_Q22","-9.028","2.419","-3.732","*"
"avg_score_Q23","-5.559","2.900","-1.917",""
"avg_score_Q24","-20.41","2.453","-8.323","*"
"avg_score_Q25","32.94","2.789","11.81","*"
"avg_score_Q26","-14.78","2.548","-5.801","*"
"avg_score_Q27","0.6745","2.545","0.2650",""
"avg_score_Q28","-5.543","2.179","-2.544","*"
"avg_score_Q29","-14.58","2.690","-5.420","*"
"avg_score_Q30","1.992","2.556","0.7793",""
"X2023.Turnover","-145.8","26.45","-5.512","*"
"MSP_sum","-1.830","0.1200","-15.25","*"
"workload","-1.749","0.06982","-25.05","*"
"shrinkage.....of.Sales","-98.62","7.866","-12.54","*"
"scaleUpscales","-1303.","103.1","-12.64","*"
"clusterOffice - High Income (Upscale)","    1952.","523.2","3.730","*"
"clusterOffice - Local (Wellcome)","468.5","161.2","2.907",""
"clusterResidential - High Income (Wellcome)","258.6","19.64","13.17","*"
"clusterResidential - Western & Top Income (Upscale)","    1689.","104.2","16.20","*"
"clusterTourist Border(Wellcome)","-191.3","211.4","-0.9050",""
"clusterUrban Hub - High Income (Upscale)","    1162.","104.0","11.17","*"
"clusterUrban Hub - Local (Wellcome)","36.97","21.60","1.711",""
"workload:scaleUpscales","-9.420","0.9486","-9.930","*"
"workload:clusterOffice - High Income (Upscale)","14.76","3.110","4.746","*"
"workload:clusterOffice - Local (Wellcome)","1.312","1.667","0.7869",""
"workload:clusterResidential - High Income (Wellcome)","-0.7094","0.1307","-5.430","*"
"workload:clusterResidential - Western & Top Income (Upscale)","8.323","0.8790","9.468","*"
"workload:clusterUrban Hub - High Income (Upscale)","11.90","0.9945","11.97","*"
"workload:clusterUrban Hub - Local (Wellcome)","0.01287","0.1860","0.06923",""
"X2023.Turnover:scaleUpscales","2624.","220.8","11.89","*"
"X2023.Turnover:clusterOffice - High Income (Upscale)","   -7702.","    2809.","-2.742",""
"X2023.Turnover:clusterOffice - Local (Wellcome)","-72.43","83.32","-0.8693",""
"X2023.Turnover:clusterResidential - High Income (Wellcome)","485.5","77.30","6.281","*"
"X2023.Turnover:clusterResidential - Western & Top Income (Upscale)","   -2224.","208.3","-10.68","*"
"X2023.Turnover:clusterUrban Hub - High Income (Upscale)","-1838.","238.2","-7.718","*"
"X2023.Turnover:clusterUrban Hub - Local (Wellcome)","155.6","53.63","2.902",""
"shrinkage.....of.Sales:scaleUpscales","1208.","114.6","10.54","*"
"shrinkage.....of.Sales:clusterOffice - High Income (Upscale)","-3735.","775.5","-4.816","*"
"shrinkage.....of.Sales:clusterOffice - Local (Wellcome)","-229.4","46.47","-4.937","*"
"shrinkage.....of.Sales:clusterResidential - High Income (Wellcome)","-6.689","20.48","-0.3266",""
"shrinkage.....of.Sales:clusterResidential - Western & Top Income (Upscale)","   -1062.","106.6","-9.961","*"
"shrinkage.....of.Sales:clusterUrban Hub - High Income (Upscale)","   -1270.","119.0","-10.67","*"
"shrinkage.....of.Sales:clusterUrban Hub - Local (Wellcome)","132.5","24.23","5.468","*"
