"Sign","term","estimate_stars","reg1(SOP...T.Area)_estimate","reg1(SOP...T.Area)_stars","reg2(productivity_sum)_estimate","reg2(productivity_sum)_stars","reg3(X2023.Turnover)_estimate","reg3(X2023.Turnover)_stars","reg4(shrinkage.....of.Sales)_estimate","reg4(shrinkage.....of.Sales)_stars","reg5(MSP_sum)_estimate","reg5(MSP_sum)_stars"
"Positive","avg_score_Q1","28.585***",28.585,"***",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q1+avg_score_Q1:clusterResidential - High Income (Wellcome)","8.934*",8.934,"*",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q1+avg_score_Q1:clusterResidential - Western & Top Income (Upscale)","2114.568***",2114.568,"***",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q1+avg_score_Q1:clusterUrban Hub - High Income (Upscale)","1920.019***",1920.019,"***",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q2+avg_score_Q2:clusterUrban Hub - Local (Wellcome)","18.675*",18.675,"*",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q3+avg_score_Q3:clusterOffice - Local (Wellcome)","1112.076***",1112.076,"***",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q3+avg_score_Q3:clusterResidential - Western & Top Income (Upscale)","2012.093*",2012.093,"*",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q3+avg_score_Q3:clusterUrban Hub - High Income (Upscale)","2495.718**",2495.718,"**",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q5+avg_score_Q5:scaleUpscales","110.761*",110.761,"*",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q6+avg_score_Q6:scaleUpscales","171.416**",171.416,"**",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q6+avg_score_Q6:clusterResidential - Western & Top Income (Upscale)","456.013***",456.013,"***",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q7+avg_score_Q7:scaleUpscales","285.66**",285.66,"**",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q8+avg_score_Q8:clusterResidential - Western & Top Income (Upscale)","755.923***",755.923,"***",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q8+avg_score_Q8:clusterUrban Hub - Local (Wellcome)","48.428*",48.428,"*",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q9","18.499***",18.499,"***",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q9+avg_score_Q9:clusterResidential - Western & Top Income (Upscale)","821.384***",821.384,"***",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q10","44.198***",44.198,"***",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q10+avg_score_Q10:clusterResidential - High Income (Wellcome)","24.346*",24.346,"*",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q11","13.922***",13.922,"***",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q11+avg_score_Q11:clusterResidential - High Income (Wellcome)","41.599*",41.599,"*",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q11+avg_score_Q11:clusterUrban Hub - Local (Wellcome)","85.306***",85.306,"***",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q12+avg_score_Q12:clusterResidential - Western & Top Income (Upscale)","683.745**",683.745,"**",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q15","21.379***",21.379,"***",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q15+avg_score_Q15:clusterResidential - Western & Top Income (Upscale)","562.95***",562.95,"***",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q16","16.184***",16.184,"***",NA,NA,NA,NA,NA,NA,NA,NA
"Positive","avg_score_Q16+avg_score_Q16:scaleUpscales","741.09***",741.09,"***",NA,NA,NA,NA,NA,NA,NA,NA
