"model","term","estimate","std.error","statistic","p.value","stars"
"reg1","(Intercept)",496.513420760147,74.8397528910394,6.63435409097395,3.53087501257278e-11,"***"
"reg1","avg_score_Q1",28.5847489552319,2.70772733314573,10.5567309548939,7.76718125316182e-26,"***"
"reg1","avg_score_Q2",-11.2891068825272,3.28477447613309,-3.43679816211219,0.000592442394298716,"***"
"reg1","avg_score_Q3",-12.3037593247687,3.16725136452854,-3.88468040855993,0.000103515369412515,"***"
"reg1","avg_score_Q4",3.62436972492163,3.39974960310317,1.06606960748328,0.28643306900232,""
"reg1","avg_score_Q5",-12.0207484988458,3.29664301469137,-3.64636038699845,0.000268128725690833,"***"
"reg1","avg_score_Q6",-1.17283026509474,2.55501564405359,-0.459030561250895,0.646228071347064,""
"reg1","avg_score_Q7",-28.6868232472368,2.7745859495537,-10.3391366383338,7.40443986820575e-25,"***"
"reg1","avg_score_Q8",2.11252833213834,3.34616287763278,0.631328602160824,0.527848615267834,""
"reg1","avg_score_Q9",18.4988665505108,4.3384561954227,4.26392839232263,2.03801518093899e-05,"***"
"reg1","avg_score_Q10",44.1983052011612,4.06664469907126,10.8684944153728,2.8417254253818e-27,"***"
"reg1","avg_score_Q11",13.9220241740776,3.22393698794254,4.31833011195494,1.59627992899014e-05,"***"
"reg1","avg_score_Q12",-14.9286686488033,3.10942192319522,-4.80110741403108,1.61437908877202e-06,"***"
"reg1","avg_score_Q15",21.3788755124227,3.11946244474835,6.85338448244962,7.89841858586975e-12,"***"
"reg1","avg_score_Q16",16.1842307020628,3.64220900758533,4.443520585545,9.00152222865844e-06,"***"
"reg1","avg_score_Q17",17.6694262382806,3.44234794228165,5.1329576598724,2.93779578378276e-07,"***"
"reg1","avg_score_Q18",-11.421377496478,3.75740844690201,-3.03969548636506,0.00237790584672023,"**"
"reg1","avg_score_Q19",-22.4094449717929,3.55184740857519,-6.30923640404427,2.99485715624193e-10,"***"
"reg1","avg_score_Q20",13.0552090135125,3.37370761572815,3.86969189406024,0.000110074262646374,"***"
"reg1","avg_score_Q21",-0.458129961092616,3.57031906765984,-0.128316251968174,0.897902803830811,""
"reg1","avg_score_Q22",-19.8173093148794,3.34239372016168,-5.92907687545583,3.20792918192596e-09,"***"
"reg1","avg_score_Q23",-39.9167716372666,3.89674505624098,-10.2436189848593,1.9644161949151e-24,"***"
"reg1","avg_score_Q24",-2.90106437866186,3.09893766533726,-0.936148026180493,0.349232895520031,""
"reg1","avg_score_Q25",43.2916457860436,3.8465717374227,11.2546050720609,4.16357663346831e-29,"***"
"reg1","avg_score_Q26",-4.93620469719471,3.22294917480095,-1.53158006207143,0.125676353307125,""
"reg1","avg_score_Q27",-11.2598192711127,3.23537741791375,-3.48021816829433,0.000504402547244838,"***"
"reg1","avg_score_Q28",-13.5180680125596,2.78984013459699,-4.84546330985822,1.29342570826734e-06,"***"
"reg1","avg_score_Q29",-17.5754150898655,3.41011092872182,-5.15391301257555,2.62881435666813e-07,"***"
"reg1","avg_score_Q30",3.48369882935961,3.36734707105549,1.03455294504812,0.300917486216572,""
"reg1","scaleUpscales",15671.825677036,4061.47559044019,3.85865317371942,0.000115153424911686,"***"
"reg1","clusterOffice - High Income (Upscale)",-72711.3652711621,28796.8094551655,-2.5249799073876,0.0115948548139935,"*"
"reg1","clusterOffice - Local (Wellcome)",12136.8868705158,3438.30816550919,3.52990083677342,0.000418687540791098,"***"
"reg1","clusterResidential - High Income (Wellcome)",-28.6645046764599,215.319249473959,-0.13312560185162,0.894098303860078,""
"reg1","clusterResidential - Western & Top Income (Upscale)",-15414.4887896138,3995.08777100448,-3.85836048496579,0.00011529105995612,"***"
"reg1","clusterTourist Border(Wellcome)",-455.304626894842,207.433343207618,-2.19494426428413,0.0282039908090032,"*"
"reg1","clusterUrban Hub - High Income (Upscale)",-13295.9518711732,4528.89674270334,-2.93580371259177,0.00333888779115135,"**"
"reg1","clusterUrban Hub - Local (Wellcome)",541.009883023704,218.627390983368,2.47457503193121,0.0133656375451916,"*"
"reg1","avg_score_Q1:scaleUpscales",-1765.40177016319,430.865063028715,-4.09734258274158,4.23168659981497e-05,"***"
"reg1","avg_score_Q1:clusterOffice - High Income (Upscale)",372.569126688832,1077.08181367052,0.345906060208349,0.729424875286184,""
"reg1","avg_score_Q1:clusterOffice - Local (Wellcome)",-107.18833155472,30.397236288791,-3.52625253613093,0.00042448655316607,"***"
"reg1","avg_score_Q1:clusterResidential - High Income (Wellcome)",-19.6505957476637,9.83723637040863,-1.99757279460872,0.0458059619251454,"*"
"reg1","avg_score_Q1:clusterResidential - Western & Top Income (Upscale)",2085.98298134226,467.234039000574,4.46453555867683,8.16428926319345e-06,"***"
"reg1","avg_score_Q1:clusterTourist Border(Wellcome)",NA,NA,NA,NA,""
"reg1","avg_score_Q1:clusterUrban Hub - High Income (Upscale)",1891.4339284741,400.583534044432,4.72169664433662,2.38952806758013e-06,"***"
"reg1","avg_score_Q1:clusterUrban Hub - Local (Wellcome)",-20.699782056734,12.3255860095708,-1.67941565136624,0.0931206980467468,"."
"reg1","avg_score_Q2:scaleUpscales",1875.22179174594,1337.5348341971,1.40199847047094,0.16096501767161,""
"reg1","avg_score_Q2:clusterOffice - High Income (Upscale)",2053.39125845633,3553.26018703912,0.577889360859722,0.563359491997141,""
"reg1","avg_score_Q2:clusterOffice - Local (Wellcome)",-879.599968595246,258.562352718644,-3.40188724053106,0.00067339047184642,"***"
"reg1","avg_score_Q2:clusterResidential - High Income (Wellcome)",-65.1450545758415,9.41149816733499,-6.92185807377024,4.89925906749866e-12,"***"
"reg1","avg_score_Q2:clusterResidential - Western & Top Income (Upscale)",-1319.20890265638,1378.06374170471,-0.957291642420308,0.338456840829761,""
"reg1","avg_score_Q2:clusterTourist Border(Wellcome)",NA,NA,NA,NA,""
"reg1","avg_score_Q2:clusterUrban Hub - High Income (Upscale)",-1780.1716457592,1375.51402211963,-1.29418647656968,0.19564849986918,""
"reg1","avg_score_Q2:clusterUrban Hub - Local (Wellcome)",29.9644160902373,12.3593776090288,2.42442759159228,0.0153605172809102,"*"
"reg1","avg_score_Q3:scaleUpscales",-2431.31026961035,846.911851305326,-2.87079495447257,0.0041080700137219,"**"
"reg1","avg_score_Q3:clusterOffice - High Income (Upscale)",-1531.75014050394,3377.58449100701,-0.453504610937875,0.650201058658457,""
"reg1","avg_score_Q3:clusterOffice - Local (Wellcome)",1124.38003770974,298.141848373289,3.77129223503693,0.000163893271654564,"***"
"reg1","avg_score_Q3:clusterResidential - High Income (Wellcome)",3.85802612632343,9.17015957566525,0.420715266129221,0.673977376110799,""
"reg1","avg_score_Q3:clusterResidential - Western & Top Income (Upscale)",2024.39639599834,865.148066669727,2.33994211394471,0.0193178159893202,"*"
"reg1","avg_score_Q3:clusterTourist Border(Wellcome)",NA,NA,NA,NA,""
"reg1","avg_score_Q3:clusterUrban Hub - High Income (Upscale)",2508.02127579227,828.46391306006,3.0273150541084,0.00247735497816517,"**"
"reg1","avg_score_Q3:clusterUrban Hub - Local (Wellcome)",9.68636082350535,10.6738743425621,0.907483123056915,0.364186112815147,""
"reg1","avg_score_Q4:scaleUpscales",2294.88053114668,1587.00984281506,1.44604051546145,0.148215630369855,""
"reg1","avg_score_Q4:clusterOffice - High Income (Upscale)",NA,NA,NA,NA,""
"reg1","avg_score_Q4:clusterOffice - Local (Wellcome)",-300.016251863692,112.149848596725,-2.67513737751451,0.00748918572041652,"**"
"reg1","avg_score_Q4:clusterResidential - High Income (Wellcome)",27.1780385285499,15.8972499073338,1.70960629586705,0.0873879919969185,"."
"reg1","avg_score_Q4:clusterResidential - Western & Top Income (Upscale)",-1939.30510618759,1531.13876843269,-1.26657697275389,0.205353460233716,""
"reg1","avg_score_Q4:clusterTourist Border(Wellcome)",NA,NA,NA,NA,""
"reg1","avg_score_Q4:clusterUrban Hub - High Income (Upscale)",-2630.11517057245,1651.84262386131,-1.59223108338514,0.111383008605695,""
"reg1","avg_score_Q4:clusterUrban Hub - Local (Wellcome)",-40.9731688465417,12.1140962874413,-3.38227201388672,0.00072327122376825,"***"
"reg1","avg_score_Q5:scaleUpscales",122.782197102277,54.1802902555955,2.26617828223237,0.0234742777340565,"*"
"reg1","avg_score_Q5:clusterOffice - High Income (Upscale)",NA,NA,NA,NA,""
"reg1","avg_score_Q5:clusterOffice - Local (Wellcome)",NA,NA,NA,NA,""
"reg1","avg_score_Q5:clusterResidential - High Income (Wellcome)",16.6486605063602,10.5772286786671,1.57400969688198,0.115535469049866,""
"reg1","avg_score_Q5:clusterResidential - Western & Top Income (Upscale)",-780.614180762767,107.403539179644,-7.26804895560381,4.08906206915107e-13,"***"
"reg1","avg_score_Q5:clusterTourist Border(Wellcome)",NA,NA,NA,NA,""
"reg1","avg_score_Q5:clusterUrban Hub - High Income (Upscale)",NA,NA,NA,NA,""
"reg1","avg_score_Q5:clusterUrban Hub - Local (Wellcome)",-26.419768087382,14.975663397391,-1.76418014924032,0.0777501549999854,"."
"reg1","avg_score_Q6:scaleUpscales",172.589218995379,65.1436427190916,2.64936395619765,0.00808449314377335,"**"
"reg1","avg_score_Q6:clusterOffice - High Income (Upscale)",NA,NA,NA,NA,""
"reg1","avg_score_Q6:clusterOffice - Local (Wellcome)",NA,NA,NA,NA,""
"reg1","avg_score_Q6:clusterResidential - High Income (Wellcome)",-55.1860684730729,8.29275170625479,-6.65473541568222,3.07758065202662e-11,"***"
"reg1","avg_score_Q6:clusterResidential - Western & Top Income (Upscale)",457.185578596788,106.615152628641,4.28818575338202,1.82830897822752e-05,"***"
"reg1","avg_score_Q6:clusterTourist Border(Wellcome)",NA,NA,NA,NA,""
"reg1","avg_score_Q6:clusterUrban Hub - High Income (Upscale)",NA,NA,NA,NA,""
"reg1","avg_score_Q6:clusterUrban Hub - Local (Wellcome)",-13.4417685237589,11.540758681627,-1.16472139263758,0.244175929673162,""
"reg1","avg_score_Q7:scaleUpscales",314.346873462086,107.904444170945,2.91319672583725,0.00359007959601052,"**"
"reg1","avg_score_Q7:clusterOffice - High Income (Upscale)",NA,NA,NA,NA,""
"reg1","avg_score_Q7:clusterOffice - Local (Wellcome)",NA,NA,NA,NA,""
"reg1","avg_score_Q7:clusterResidential - High Income (Wellcome)",2.44327191975351,9.27226704785229,0.263503187208078,0.792171393240498,""
"reg1","avg_score_Q7:clusterResidential - Western & Top Income (Upscale)",199.335556808443,151.934329087605,1.31198497407065,0.189573052577186,""
"reg1","avg_score_Q7:clusterTourist Border(Wellcome)",NA,NA,NA,NA,""
"reg1","avg_score_Q7:clusterUrban Hub - High Income (Upscale)",NA,NA,NA,NA,""
"reg1","avg_score_Q7:clusterUrban Hub - Local (Wellcome)",5.62041896854119,12.2257947524814,0.459718086417282,0.64573446419289,""
"reg1","avg_score_Q8:scaleUpscales",-462.36334799469,195.409792913388,-2.36612168254855,0.0180056550701565,"*"
"reg1","avg_score_Q8:clusterOffice - High Income (Upscale)",NA,NA,NA,NA,""
"reg1","avg_score_Q8:clusterOffice - Local (Wellcome)",NA,NA,NA,NA,""
"reg1","avg_score_Q8:clusterResidential - High Income (Wellcome)",-138.051060485926,10.439152690798,-13.2243549428698,2.1212082322597e-39,"***"
"reg1","avg_score_Q8:clusterResidential - Western & Top Income (Upscale)",753.810146893719,213.968891518214,3.52298944741484,0.00042973673630344,"***"
"reg1","avg_score_Q8:clusterTourist Border(Wellcome)",NA,NA,NA,NA,""
"reg1","avg_score_Q8:clusterUrban Hub - High Income (Upscale)",NA,NA,NA,NA,""
"reg1","avg_score_Q8:clusterUrban Hub - Local (Wellcome)",46.3159165621806,20.1052589396135,2.30367172595446,0.0212735055214196,"*"
"reg1","avg_score_Q9:scaleUpscales",-419.726056488951,151.342596899451,-2.77335043198584,0.00556457075672166,"**"
"reg1","avg_score_Q9:clusterOffice - High Income (Upscale)",NA,NA,NA,NA,""
"reg1","avg_score_Q9:clusterOffice - Local (Wellcome)",NA,NA,NA,NA,""
"reg1","avg_score_Q9:clusterResidential - High Income (Wellcome)",-9.99754203657216,13.6442978016004,-0.73272675383848,0.463752389016246,""
"reg1","avg_score_Q9:clusterResidential - Western & Top Income (Upscale)",802.885416388739,160.336276671957,5.00750942365599,5.66403261910279e-07,"***"
"reg1","avg_score_Q9:clusterTourist Border(Wellcome)",NA,NA,NA,NA,""
"reg1","avg_score_Q9:clusterUrban Hub - High Income (Upscale)",NA,NA,NA,NA,""
"reg1","avg_score_Q9:clusterUrban Hub - Local (Wellcome)",-0.316793966783991,19.7050924347982,-0.0160767561904225,0.987173666556945,""
"reg1","avg_score_Q10:scaleUpscales",86.9600624162342,47.3613490943548,1.83609766358195,0.0663903556660476,"."
"reg1","avg_score_Q10:clusterOffice - High Income (Upscale)",NA,NA,NA,NA,""
"reg1","avg_score_Q10:clusterOffice - Local (Wellcome)",NA,NA,NA,NA,""
"reg1","avg_score_Q10:clusterResidential - High Income (Wellcome)",-19.8520644628976,10.0155875322498,-1.98211681531161,0.0475095917025405,"*"
"reg1","avg_score_Q10:clusterResidential - Western & Top Income (Upscale)",-1145.50342774509,151.684767637278,-7.55186855996197,4.90037292633196e-14,"***"
"reg1","avg_score_Q10:clusterTourist Border(Wellcome)",NA,NA,NA,NA,""
"reg1","avg_score_Q10:clusterUrban Hub - High Income (Upscale)",NA,NA,NA,NA,""
"reg1","avg_score_Q10:clusterUrban Hub - Local (Wellcome)",-181.26268413478,20.4389686342374,-8.86848487213519,9.51932997867624e-19,"***"
"reg1","avg_score_Q11:scaleUpscales",-257.978522954072,83.0869432347993,-3.10492254150015,0.00191174307865433,"**"
"reg1","avg_score_Q11:clusterOffice - High Income (Upscale)",NA,NA,NA,NA,""
"reg1","avg_score_Q11:clusterOffice - Local (Wellcome)",NA,NA,NA,NA,""
"reg1","avg_score_Q11:clusterResidential - High Income (Wellcome)",27.6767433566699,10.9899119789232,2.51837716350678,0.0118142968291486,"*"
"reg1","avg_score_Q11:clusterResidential - Western & Top Income (Upscale)",-515.920367715952,166.565900297292,-3.09739488571864,0.00196089137031799,"**"
"reg1","avg_score_Q11:clusterTourist Border(Wellcome)",NA,NA,NA,NA,""
"reg1","avg_score_Q11:clusterUrban Hub - High Income (Upscale)",NA,NA,NA,NA,""
"reg1","avg_score_Q11:clusterUrban Hub - Local (Wellcome)",71.383915493663,19.8039598382382,3.60452738122769,0.000315139634923652,"***"
"reg1","avg_score_Q12:scaleUpscales",-506.183743278452,250.403203159027,-2.02147471315286,0.0432728873483792,"*"
"reg1","avg_score_Q12:clusterOffice - High Income (Upscale)",NA,NA,NA,NA,""
"reg1","avg_score_Q12:clusterOffice - Local (Wellcome)",NA,NA,NA,NA,""
"reg1","avg_score_Q12:clusterResidential - High Income (Wellcome)",4.29279350673044,9.85263370433886,0.435700101673322,0.663069273506718,""
"reg1","avg_score_Q12:clusterResidential - Western & Top Income (Upscale)",698.673794991749,250.443898141452,2.78974173528131,0.00529087624008474,"**"
"reg1","avg_score_Q12:clusterTourist Border(Wellcome)",NA,NA,NA,NA,""
"reg1","avg_score_Q12:clusterUrban Hub - High Income (Upscale)",NA,NA,NA,NA,""
"reg1","avg_score_Q12:clusterUrban Hub - Local (Wellcome)",-39.9614669057499,13.2864449141042,-3.00768694440818,0.00264284777532497,"**"
"reg1","avg_score_Q15:scaleUpscales",-388.146098719866,99.8730098194336,-3.88639632891428,0.000102788484795461,"***"
"reg1","avg_score_Q15:clusterOffice - High Income (Upscale)",NA,NA,NA,NA,""
"reg1","avg_score_Q15:clusterOffice - Local (Wellcome)",NA,NA,NA,NA,""
"reg1","avg_score_Q15:clusterResidential - High Income (Wellcome)",-89.1057245464961,12.1897479502957,-7.30989064825863,3.00534217143586e-13,"***"
"reg1","avg_score_Q15:clusterResidential - Western & Top Income (Upscale)",541.571163182483,104.837824230845,5.16579933965423,2.46776499733423e-07,"***"
"reg1","avg_score_Q15:clusterTourist Border(Wellcome)",NA,NA,NA,NA,""
"reg1","avg_score_Q15:clusterUrban Hub - High Income (Upscale)",NA,NA,NA,NA,""
"reg1","avg_score_Q15:clusterUrban Hub - Local (Wellcome)",-26.9636483938706,10.2767042233667,-2.62376417651116,0.00871738604127152,"**"
"reg1","avg_score_Q16:scaleUpscales",724.906192430679,218.857795983601,3.31222467617739,0.000930791510184517,"***"
