"Store","CooksD"
"R05-A19-Watford Road",1.10518280911385
"R04-A17-Sha Tau Kok",0.140344179448767
"R05-A22-Lions Rise - MP",0.0556551594999611
"R02-A09-Tin Ma",0.0482828942669985
"R01-A03-Fullagar",0.0475004545279054
"R02-A07-Far East",0.0447400838629228
"R05-A21-Redhill Plaza",0.0412843144669822
"R05-A19-Peak - MP",0.0272288412680976
"R03-A11-Tai Wo Hau",0.0265989682236195
"R02-A06-Sun Lai",0.0265734335428788
"R01-A02-Kimley Commercial Building",0.0249908993907717
"R02-A07-Chevalier House",0.0244733744164942
"R02-A09-Tsui Chuk Garden",0.0236117867635609
"R04-A15-Mei Tin",0.023588966334445
"R02-A06-Dor Hei Building",0.0203067661595032
"R04-A14-Richwood Park",0.0173572502310864
"R04-A17-Lok Ma Chau",0.0169820300306165
"R01-A04-Fung Wah",0.0165688945415273
"R01-A04-Upper East",0.0145182200230691
"R04-A17-Po Shing",0.0140580630140648
"R05-A19-Jardine House - MPJ",0.0138810996023541
"R02-A06-Lung Poon Court",0.0135824530761681
"R04-A16-Fanling Centre",0.0131214196250527
