"Store","CooksD"
"R01-A04-Fung Wah",0.272714500094884
"R02-A07-Far East",0.199702960813252
"R04-A17-Koon Wong Mansion",0.128405504702406
"R02-A09-Fair Way Garden",0.0770571489700862
"R03-A10-Golden Hill",0.0646663146871546
"R01-A01-Victoria Centre",0.0552172151140341
"R02-A06-Dor Hei Building",0.0511236586690523
"R04-A17-Po Shing",0.0350345114655111
"R02-A06-Sun Lai",0.0287700178101378
"R03-A11-Shek Lei",0.027203984286035
"R02-A05-Sai Kung Building",0.0221890424514913
"R04-A17-Lok Ma Chau",0.0217461968909268
"R02-A07-Tokwawan 2",0.0216622682179775
"R04-A15-Yuet On",0.0215455200809362
"R04-A15-Fo Tan",0.0189721509322537
"R01-A03-DDC Westwood",0.0186605407951815
"R01-A02-Hennessy Road",0.0184803876481312
"R04-A17-Ping Wui Centre",0.0166614936508402
"R04-A16-San Hong Street",0.0155537949011549
"R02-A08-Yaumatei",0.0131893028069673
