"Store","CooksD"
"R05-A19-Watford Road",0.195278854670226
"R01-A04-Fung Wah",0.139595965043006
"R02-A09-Fair Way Garden",0.0734159394207941
"R02-A09-Tin Ma",0.0712387962120754
"R04-A17-Lok Ma Chau",0.0490792688609794
"R01-A01-Victoria Centre",0.0487819697790903
"R05-A20-Victoria Dockside - MP",0.0410346669046286
"R01-A02-Cheung Chau",0.0372790278256704
"R01-A02-Kimley Commercial Building",0.0320059000982722
"R04-A18-Lam Tei 2",0.025172345259401
"R03-A12-Indi Home",0.0219545467921956
"R05-A19-Central House - MP",0.0215809645267983
"R04-A17-Po Shing",0.0212800504061945
"R01-A02-Cartwright Garden",0.0196736520293512
"R02-A07-Tokwawan 2",0.0177946954568507
"R02-A07-Kimberley Road",0.0175070566179923
"R01-A03-Fullagar",0.0166362294504712
"R04-A17-Sha Tau Kok",0.0166218188863702
"R05-A19-Jardine House - MPJ",0.0165495226735874
"R04-A16-Fanling Centre",0.0162061348990405
"R03-A11-On Yam",0.0155001127580683
"R03-A11-Riviera Garden",0.0153572402101487
"R03-A10-Golden Hill",0.0150881358904564
"R02-A08-Tai Kok Tsui",0.0142537885114614
"R01-A03-Ap Lei Chau",0.0131167087989228
