"Store","CooksD"
"R05-A19-Watford Road",0.248583028401148
"R01-A04-Fung Wah",0.127931391361685
"R02-A09-Chun Seen Mei",0.108015769416375
"R05-A19-Peak - MP",0.0913148723582744
"R02-A06-Dor Hei Building",0.056287516775753
"R01-A03-Belcher's Street",0.0519472152627632
"R02-A09-Tin Ma",0.0511323385700658
"R01-A04-Upper East",0.0456380222273905
"R01-A02-Yee Ga Court",0.0415313634016147
"R02-A09-Tsui Chuk Garden",0.0412565840252975
"R05-A20-Surson Building - MP",0.0368666298091345
"R05-A23-CDW Building - MPJ",0.0329915679853097
"R04-A16-San Fung 3",0.0273511878196817
"R03-A10-Nam Cheong Estate",0.0271367701117533
"R05-A19-Nexxus Building - MP",0.0263781211285201
"R03-A10-Shun Ning Road",0.0236136210938299
"R04-A15-Fo Tan",0.0232193564427163
"R01-A04-Hing Wah",0.0219147073808638
"R02-A07-Tokwawan 2",0.0211080621313348
"R03-A11-Tai Wo Hau",0.0201483425111018
"R01-A03-Port Centre",0.0188463778989258
"R02-A07-Chevalier House",0.0171754830871143
"R05-A19-Jardine House - MPJ",0.0158212408527203
