"Store","CooksD"
"R05-A22-Lions Rise - MP",0.216071776209926
"R02-A07-Far East",0.154678385826461
"R01-A02-Cheung Chau",0.080837537018031
"R02-A07-Empress Plaza",0.0673697157667098
"R02-A05-Well On Garden",0.0594118841502609
"R01-A04-Sun Sing",0.0466530090629425
"R02-A09-Mongkok Building",0.0419047872082022
"R02-A09-Tsui Chuk Garden",0.0367161436171598
"R04-A17-Lok Ma Chau",0.0353219069434164
"R03-A10-Golden Hill",0.0331042103275834
"R01-A02-Yee Ga Court",0.0282845871043012
"R01-A04-Fung Wah",0.0262504395371782
"R02-A09-Tin Ma",0.0257270077707235
"R01-A03-Fullagar",0.0244617174767944
"R01-A04-Tai Shan",0.0242071283800993
"R02-A06-Dor Hei Building",0.018833249929715
"R01-A04-Tai On Building",0.0187304057635438
"R01-A03-Princeton Tower",0.0186919068849968
"R01-A02-Cartwright Garden",0.018545902343891
"R01-A01-Jaffe Road",0.0184763602380022
"R02-A08-Tai Kok Tsui",0.0180877543348101
"R01-A02-Kimley Commercial Building",0.0164496660554378
"R03-A11-Shek Yam",0.0160030520554169
"R03-A12-Indi Home",0.0158941288028475
"R01-A02-Cheung Chau 2",0.0154910428773415
"R04-A17-Ping Wui Centre",0.0148858278524246
"R05-A19-Jardine House - MPJ",0.013264579075608
"R01-A01-Fitfort",0.0127767696592481
