         Feature Coefficients  Percentage
1    (Intercept)  65.83227848 86.46012291
14 avg_score_Q29   2.10256078  2.76137584
5  avg_score_Q16   1.40284271  1.84240856
10 avg_score_Q23   1.00985165  1.32627792
13 avg_score_Q28   0.99791630  1.31060276
2   avg_score_Q8   0.80879472  1.06222195
12 avg_score_Q27   0.77968063  1.02398526
11 avg_score_Q26   0.76766403  1.00820339
15 avg_score_Q30   0.65907194  0.86558512
6  avg_score_Q19   0.61198075  0.80373841
9  avg_score_Q22   0.51631518  0.67809705
3  avg_score_Q11   0.38402375  0.50435351
4  avg_score_Q12   0.12091138  0.15879768
8  avg_score_Q21   0.11926345  0.15663338
7  avg_score_Q20   0.02862645  0.03759625
