|              |     Imp| IncNodePurity| Imp_Rank| Baseline| req_inc_70| req_inc_75| n_capped|
|:-------------|-------:|-------------:|--------:|--------:|----------:|----------:|--------:|
|avg_score_Q17 | 31.7780|      3717.050|        1|  70.9108|     9.0892|     9.0892|       19|
|avg_score_Q20 | 27.5084|     14793.644|        2|  68.8789|    11.1211|    11.1211|       14|
|avg_score_Q21 | 27.0862|     15017.172|        3|  68.4129|    11.5871|    11.5871|       14|
|avg_score_Q12 | 26.2461|      8482.661|        4|  71.2285|     8.7715|     8.7715|       14|
|avg_score_Q19 | 24.2476|     13708.542|        5|  69.4580|    10.5420|    10.5420|       14|
|avg_score_Q30 | 24.1941|     19296.992|        6|  67.5773|    12.4227|    12.4227|       14|
|avg_score_Q29 | 23.6089|     35531.129|        7|  65.0160|    14.9840|    14.9840|       14|
|avg_score_Q11 | 22.0161|     26878.219|        8|  65.1309|    14.8691|    14.8691|       19|
|avg_score_Q24 | 21.5486|     22021.561|        9|  67.3037|    12.6963|    12.6963|       14|
|avg_score_Q8  | 20.2020|     25236.165|       10|  64.7834|    15.2166|    15.2166|       14|
|avg_score_Q10 | 19.5882|     26711.439|       11|  67.4666|    12.5334|    12.5334|       14|
|avg_score_Q28 | 19.5591|     16687.085|       12|  65.9763|    14.0237|    14.0237|       19|
|avg_score_Q26 | 19.4814|     19549.265|       13|  67.0683|    12.9317|    12.9317|       19|
|avg_score_Q7  | 18.9062|      4420.434|       14|  71.1329|     8.8671|     8.8671|       19|
|avg_score_Q16 | 18.7809|     32037.759|       15|  69.4302|    10.5698|    10.5698|       14|
|avg_score_Q22 | 18.7681|     25046.953|       16|  65.5452|    14.4548|    14.4548|       14|
|avg_score_Q15 | 18.4641|     18286.710|       17|  69.3976|    10.6024|    10.6024|       14|
|avg_score_Q18 | 18.1115|     21884.832|       18|  67.4761|    12.5239|    12.5239|       14|
|avg_score_Q25 | 17.8303|     23095.456|       19|  67.9707|    12.0293|    12.0293|       14|
|avg_score_Q23 | 17.3900|     31892.982|       20|  67.5136|    12.4864|    12.4864|       19|
|avg_score_Q9  | 17.2567|     31731.451|       21|  67.3297|    12.6703|    12.6703|       19|
|avg_score_Q27 | 16.8472|     19185.288|       22|  68.3685|    11.6315|    11.6315|       14|
