"Store","CooksD"
"R01-A01-Victoria Centre",0.175317043442877
"R05-A19-Watford Road",0.128484718161457
"R02-A09-Fair Way Garden",0.125225030341937
"R05-A22-Lions Rise - MP",0.122695374373944
"R01-A02-Cheung Chau",0.0787532945890589
"R02-A06-Sun Lai",0.0627568574271717
"R05-A20-Victoria Dockside - MP",0.0574018491399742
"R02-A06-Dor Hei Building",0.041381859499788
"R02-A09-Tin Ma",0.0403349400497767
"R04-A17-Po Shing",0.0376850088691717
"R04-A17-Lok Ma Chau",0.0369016106956923
"R03-A11-On Yam",0.0273241756441382
"R01-A02-Yee Ga Court",0.0253079147386059
"R03-A10-Nam Cheong Estate",0.0208666302478239
"R02-A08-Tai Kok Tsui",0.0191862367690399
"R03-A10-Golden Centre",0.018755655669482
"R03-A10-Golden Hill",0.0184853713241
"R01-A03-Ap Lei Chau",0.0178449388903547
"R02-A07-Tokwawan 2",0.017099419868663
"R01-A04-Tai On Building",0.0166514845192111
"R01-A04-Tai Shan",0.0152508246412302
"R03-A11-Riviera Garden",0.0143902182711042
"R02-A07-Chevalier House",0.0138849179037765
"R04-A18-Lam Tei 2",0.0135341949721431
"R01-A03-Fullagar",0.0131665301706232
"R05-A19-Peak - MP",0.0128341237198758
"R02-A08-Lai Chi Kok",0.0126907001904298
