         Feature Coefficients Percentage
1    (Intercept)   66.8417722 86.8624890
8  avg_score_Q23    1.8512492  2.4057428
12 avg_score_Q30    1.7599289  2.2870698
11 avg_score_Q29    1.6427276  2.1347639
5  avg_score_Q16    1.3491847  1.7532980
4  avg_score_Q15    1.2777398  1.6604535
3   avg_score_Q9    0.5709606  0.7419771
9  avg_score_Q24    0.4630276  0.6017154
2   avg_score_Q7    0.4144809  0.5386279
7  avg_score_Q21    0.4033198  0.5241238
6  avg_score_Q20    0.2270056  0.2949992
10 avg_score_Q26    0.1498546  0.1947396
