|              |     Imp| IncNodePurity| Imp_Rank| Baseline| req_inc_70| req_inc_75| n_capped|
|:-------------|-------:|-------------:|--------:|--------:|----------:|----------:|--------:|
|avg_score_Q7  | 33.9468|      2553.951|        1|  71.2327|     8.7673|     8.7673|       19|
|avg_score_Q17 | 29.1777|      3724.108|        2|  70.9811|     9.0189|     9.0189|       19|
|avg_score_Q12 | 23.9117|      9354.112|        3|  71.2910|     8.7090|     8.7090|       11|
|avg_score_Q29 | 23.0437|     37470.116|        4|  65.0091|    14.9909|    14.9909|       11|
|avg_score_Q21 | 22.6971|     21133.136|        5|  68.3889|    11.6111|    11.6111|       11|
|avg_score_Q27 | 22.0569|      7540.937|        6|  68.3529|    11.6471|    11.6471|       11|
|avg_score_Q11 | 21.6377|     33312.815|        7|  65.1877|    14.8123|    14.8123|       19|
|avg_score_Q30 | 21.5507|     24547.834|        8|  67.5825|    12.4175|    12.4175|       11|
|avg_score_Q20 | 20.9008|     14991.788|        9|  68.8738|    11.1262|    11.1262|       11|
|avg_score_Q19 | 20.2161|     12424.630|       10|  69.4714|    10.5286|    10.5286|       11|
|avg_score_Q23 | 19.7231|     30026.512|       11|  67.5477|    12.4523|    12.4523|       19|
|avg_score_Q15 | 19.1454|     15338.530|       12|  69.4004|    10.5996|    10.5996|       11|
|avg_score_Q24 | 18.4754|     23193.802|       13|  67.3168|    12.6832|    12.6832|       11|
|avg_score_Q25 | 18.4376|     22349.517|       14|  68.0035|    11.9965|    11.9965|       11|
|avg_score_Q10 | 17.8245|     23480.811|       15|  67.4916|    12.5084|    12.5084|       11|
|avg_score_Q8  | 17.5136|     33994.016|       16|  64.8203|    15.1797|    15.1797|       11|
|avg_score_Q18 | 17.0617|     12140.423|       17|  67.5395|    12.4605|    12.4605|       11|
|avg_score_Q28 | 16.9660|     17031.339|       18|  66.0209|    13.9791|    13.9791|       19|
|avg_score_Q22 | 16.4032|     22674.876|       19|  65.5206|    14.4794|    14.4794|       11|
|avg_score_Q9  | 16.3841|     34242.010|       20|  67.4048|    12.5952|    12.5952|       19|
|avg_score_Q26 | 15.7448|     19932.617|       21|  67.0852|    12.9148|    12.9148|       19|
|avg_score_Q16 | 14.6878|     25686.590|       22|  69.4339|    10.5661|    10.5661|       11|
