         Feature Coefficients   Percentage
1    (Intercept) 6.572468e+01 8.615594e+01
11 avg_score_Q29 2.773414e+00 3.635561e+00
9  avg_score_Q23 2.020266e+00 2.648288e+00
12 avg_score_Q30 1.460926e+00 1.915072e+00
5  avg_score_Q11 1.394296e+00 1.827728e+00
6  avg_score_Q15 9.082965e-01 1.190651e+00
2   avg_score_Q7 5.918071e-01 7.757770e-01
7  avg_score_Q16 5.561761e-01 7.290697e-01
10 avg_score_Q28 4.141763e-01 5.429276e-01
4   avg_score_Q9 3.664920e-01 4.804202e-01
3   avg_score_Q8 7.517437e-02 9.854317e-02
8  avg_score_Q21 1.571666e-05 2.060236e-05
