|              |    Imp| IncNodePurity| Imp_Rank_MSE| Imp_Rank_Gini| Baseline| n_capped|
|:-------------|------:|-------------:|------------:|-------------:|--------:|--------:|
|avg_score_Q29 | 4.1131|     2032.3928|            1|             1|  64.4888|        1|
|avg_score_Q30 | 4.0587|     1874.8393|            2|             3|  66.9552|        1|
|avg_score_Q22 | 3.6251|      518.1571|            3|            21|  65.3453|        1|
|avg_score_Q26 | 3.5721|     1300.8157|            4|             8|  66.6278|        2|
|avg_score_Q24 | 3.3307|     1501.1359|            5|             4|  66.5874|        1|
|avg_score_Q18 | 3.0070|     1420.0275|            6|             5|  67.3812|        1|
|avg_score_Q23 | 2.9197|     2009.3358|            7|             2|  66.9417|        2|
|avg_score_Q27 | 2.7554|     1222.8835|            8|            10|  68.0448|        1|
|avg_score_Q16 | 2.6243|     1178.4080|            9|            12|  69.0135|        1|
|avg_score_Q20 | 2.4851|      878.2459|           10|            13|  68.5919|        1|
|avg_score_Q12 | 2.4813|      788.3002|           11|            16|  70.6592|        1|
|avg_score_Q17 | 2.4766|      177.7442|           12|            22|  70.8700|        2|
|avg_score_Q28 | 2.4644|     1200.5079|           13|            11|  65.5785|        2|
|avg_score_Q11 | 2.4263|     1298.2923|           14|             9|  64.7130|        2|
|avg_score_Q9  | 2.3096|     1347.3390|           15|             6|  67.1659|        2|
|avg_score_Q15 | 2.2834|      525.2740|           16|            20|  68.9058|        1|
|avg_score_Q21 | 2.1970|      606.9015|           17|            18|  68.1211|        1|
|avg_score_Q25 | 2.1699|      663.7959|           18|            17|  67.6682|        1|
|avg_score_Q19 | 2.0434|      797.8660|           19|            15|  69.0583|        1|
|avg_score_Q10 | 1.9952|      873.7980|           20|            14|  67.1121|        1|
|avg_score_Q8  | 1.8602|     1329.1969|           21|             7|  64.1390|        1|
|avg_score_Q7  | 1.7337|      562.8729|           22|            19|  71.0942|        2|
