|              |    Imp| IncNodePurity| Imp_Rank_MSE| Imp_Rank_Gini| Baseline| n_capped|
|:-------------|------:|-------------:|------------:|-------------:|--------:|--------:|
|avg_score_Q29 | 3.8928|     2403.8639|            1|             1|  64.8468|        1|
|avg_score_Q9  | 3.8098|     1766.4110|            2|             5|  67.2252|        1|
|avg_score_Q30 | 3.2869|     1124.4163|            3|            12|  67.2117|        1|
|avg_score_Q16 | 3.0932|     1261.3910|            4|             9|  69.1396|        1|
|avg_score_Q12 | 2.9987|      719.6074|            5|            16|  71.1036|        1|
|avg_score_Q8  | 2.9780|     1353.8603|            6|             8|  64.6441|        1|
|avg_score_Q20 | 2.9104|      642.9860|            7|            19|  68.6532|        1|
|avg_score_Q25 | 2.8049|     1895.1220|            8|             3|  67.8919|        1|
|avg_score_Q19 | 2.8010|      619.4301|            9|            20|  69.1622|        1|
|avg_score_Q10 | 2.7617|     1822.9524|           10|             4|  67.4685|        1|
|avg_score_Q23 | 2.7430|     1228.5923|           11|            10|  67.2207|        1|
|avg_score_Q24 | 2.6543|     1644.4748|           12|             6|  67.0450|        1|
|avg_score_Q26 | 2.6469|     1357.3859|           13|             7|  66.8198|        1|
|avg_score_Q28 | 2.6283|      795.9824|           14|            15|  65.5811|        1|
|avg_score_Q22 | 2.5804|      906.6208|           15|            13|  65.5315|        1|
|avg_score_Q27 | 2.5455|      714.2590|           16|            17|  68.4865|        1|
|avg_score_Q11 | 2.4987|     2057.2618|           17|             2|  65.1306|        1|
|avg_score_Q18 | 2.1825|      837.5175|           18|            14|  67.4279|        1|
|avg_score_Q21 | 2.0724|     1165.0059|           19|            11|  68.3829|        1|
|avg_score_Q7  | 2.0425|      143.9181|           20|            22|  70.8468|        1|
|avg_score_Q15 | 1.7064|      710.3116|           21|            18|  69.2928|        1|
|avg_score_Q17 | 1.5268|      430.3753|           22|            21|  70.9324|        1|
