|              |     Imp| IncNodePurity| Imp_Rank_MSE| Imp_Rank_Gini| Baseline| n_capped|
|:-------------|-------:|-------------:|------------:|-------------:|--------:|--------:|
|avg_score_Q22 | 15.2528|      5512.524|            1|            19|  73.0584|       36|
|avg_score_Q29 | 14.7376|     20093.587|            2|             2|  73.6368|       33|
|avg_score_Q28 | 14.4287|      3998.922|            3|            21|  73.2490|       39|
|avg_score_Q19 | 13.4512|     12812.359|            4|            10|  78.4631|       54|
|avg_score_Q23 | 12.6743|     23830.274|            5|             1|  75.9421|       47|
|avg_score_Q30 | 12.2214|     13855.048|            6|             7|  75.5625|       39|
|avg_score_Q8  | 11.9696|     11815.466|            7|            13|  73.2141|       44|
|avg_score_Q7  | 11.8671|      2034.913|            8|            22|  77.7335|       71|
|avg_score_Q26 | 11.7567|     12861.228|            9|             9|  75.4418|       42|
|avg_score_Q9  | 11.2960|     11092.149|           10|            15|  75.3184|       47|
|avg_score_Q11 | 11.2445|     18936.200|           11|             4|  74.3812|       45|
|avg_score_Q25 | 10.9769|     11270.478|           12|            14|  76.6450|       53|
|avg_score_Q27 | 10.9365|     13026.112|           13|             8|  77.3151|       65|
|avg_score_Q20 | 10.9157|     19205.802|           14|             3|  77.9487|       52|
|avg_score_Q10 | 10.3476|     15314.771|           15|             6|  76.8640|       51|
|avg_score_Q12 |  9.9269|     12617.042|           16|            11|  79.6750|       74|
|avg_score_Q21 |  9.8147|     12610.503|           17|            12|  77.6024|       51|
|avg_score_Q15 |  9.5558|      7643.498|           18|            18|  77.0994|       56|
|avg_score_Q18 |  9.3139|      7873.596|           19|            17|  75.1289|       45|
|avg_score_Q24 |  9.1394|     16720.551|           20|             5|  76.0448|       39|
|avg_score_Q17 |  9.0145|      4218.977|           21|            20|  78.8935|       63|
|avg_score_Q16 |  8.1524|      8089.652|           22|            16|  77.2157|       53|
