|              |     Imp| IncNodePurity| Imp_Rank_MSE| Imp_Rank_Gini| Baseline| n_capped|
|:-------------|-------:|-------------:|------------:|-------------:|--------:|--------:|
|avg_score_Q30 | 15.1276|     21803.093|            1|             3|  75.5953|       45|
|avg_score_Q29 | 14.9393|     27019.680|            2|             1|  73.6854|       40|
|avg_score_Q20 | 14.1333|     21528.191|            3|             4|  77.9984|       63|
|avg_score_Q17 | 13.9036|      3748.738|            4|            21|  78.9487|       64|
|avg_score_Q23 | 13.4710|     14879.192|            5|            10|  75.9214|       55|
|avg_score_Q28 | 13.3353|      4592.283|            6|            20|  73.3168|       44|
|avg_score_Q7  | 13.2530|      1585.002|            7|            22|  77.9508|       82|
|avg_score_Q19 | 13.1753|     19764.725|            8|             6|  78.4052|       62|
|avg_score_Q24 | 12.8506|     16067.630|            9|             8|  76.0814|       44|
|avg_score_Q11 | 12.7936|     23385.304|           10|             2|  74.4211|       54|
|avg_score_Q22 | 12.7434|      5778.522|           11|            18|  73.1491|       38|
|avg_score_Q8  | 12.2794|     14812.936|           12|            11|  73.3463|       50|
|avg_score_Q16 | 11.8517|     15394.937|           13|             9|  77.3064|       61|
|avg_score_Q26 | 11.1620|      5554.052|           14|            19|  75.4686|       47|
|avg_score_Q12 | 11.0338|      8278.882|           15|            16|  79.7499|       88|
|avg_score_Q10 | 11.0238|     11155.522|           16|            13|  76.9263|       57|
|avg_score_Q15 | 10.4099|     10070.228|           17|            15|  77.2196|       62|
|avg_score_Q25 | 10.3263|     18256.895|           18|             7|  76.6652|       54|
|avg_score_Q21 | 10.0882|     21144.286|           19|             5|  77.6237|       54|
|avg_score_Q27 |  9.9728|     11404.364|           20|            12|  77.3288|       70|
|avg_score_Q18 |  8.3938|      7437.202|           21|            17|  75.2594|       47|
|avg_score_Q9  |  6.2108|     10977.007|           22|            14|  75.3413|       53|
