|              |     Imp| IncNodePurity| Imp_Rank_MSE| Imp_Rank_Gini| Baseline| n_capped|
|:-------------|-------:|-------------:|------------:|-------------:|--------:|--------:|
|avg_score_Q16 |  2.2725|      164.2160|            1|            11|  77.3714|        0|
|avg_score_Q23 |  2.1485|      281.2652|            2|             2|  78.8571|        0|
|avg_score_Q24 |  2.1413|      371.3599|            3|             1|  74.2571|        0|
|avg_score_Q20 |  2.1276|      110.0898|            4|            14|  78.0286|        0|
|avg_score_Q27 |  2.1028|       72.6627|            5|            19|  74.5714|        0|
|avg_score_Q34 |  2.0931|      249.3213|            6|             3|  75.4857|        0|
|avg_score_Q30 |  2.0836|       44.0700|            7|            22|  76.4000|        0|
|avg_score_Q10 |  2.0128|      165.9470|            8|            10|  75.8286|        0|
|avg_score_Q21 |  2.0121|      173.9122|            9|             6|  77.9714|        1|
|avg_score_Q19 |  1.9418|      248.1248|           10|             4|  77.4286|        0|
|avg_score_Q28 |  1.8651|       39.7007|           11|            23|  73.9429|        0|
|avg_score_Q17 |  1.8564|       16.5459|           12|            25|  79.4571|        0|
|avg_score_Q18 |  1.7747|       83.4248|           13|            16|  74.2857|        0|
|avg_score_Q8  |  1.7746|      168.4767|           14|             8|  73.1714|        0|
|avg_score_Q15 |  1.6485|       50.5514|           15|            21|  74.7714|        0|
|avg_score_Q11 |  1.6433|      168.3191|           16|             9|  72.7714|        0|
|avg_score_Q26 |  1.6267|       76.9458|           17|            18|  75.1429|        0|
|avg_score_Q12 |  1.5876|      214.4646|           18|             5|  80.4571|        1|
|avg_score_Q31 |  1.5623|      140.5022|           19|            12|  73.4571|        0|
|avg_score_Q38 |  1.4802|        5.1509|           20|            30|  80.1143|        1|
|avg_score_Q7  |  1.3857|        7.4435|           21|            27|  78.4857|        0|
|avg_score_Q33 |  1.3029|       65.8940|           22|            20|  76.4571|        0|
|avg_score_Q25 |  1.2640|      102.6316|           23|            15|  75.7143|        0|
|avg_score_Q29 |  1.1456|      119.8214|           24|            13|  71.2571|        0|
|avg_score_Q36 |  0.9592|      170.8529|           25|             7|  74.2286|        0|
|avg_score_Q22 |  0.6514|       31.1433|           26|            24|  75.4286|        0|
|avg_score_Q32 |  0.6350|       83.0219|           27|            17|  73.1143|        0|
|avg_score_Q37 |  0.6107|        6.5760|           28|            29|  79.5714|        1|
|avg_score_Q35 | -0.1345|        7.3351|           29|            28|  74.3714|        0|
|avg_score_Q9  | -1.0920|        7.9383|           30|            26|  76.1143|        0|
