|              |     Imp| IncNodePurity| Imp_Rank_MSE| Imp_Rank_Gini| Baseline| n_capped|
|:-------------|-------:|-------------:|------------:|-------------:|--------:|--------:|
|avg_score_Q25 |  2.7028|      254.3163|            1|             1|  75.3529|        0|
|avg_score_Q37 |  2.1760|      170.2532|            2|             6|  79.8529|        1|
|avg_score_Q15 |  2.1247|      107.5993|            3|            13|  74.5882|        0|
|avg_score_Q35 |  2.1170|      210.3704|            4|             4|  75.2353|        0|
|avg_score_Q11 |  1.9954|      143.0364|            5|             7|  73.7059|        0|
|avg_score_Q20 |  1.8669|      228.9996|            6|             2|  78.7059|        0|
|avg_score_Q8  |  1.8218|      220.2701|            7|             3|  72.9118|        0|
|avg_score_Q30 |  1.7933|       61.8352|            8|            18|  77.1765|        0|
|avg_score_Q12 |  1.7507|      116.8140|            9|            11|  81.0294|        1|
|avg_score_Q29 |  1.7333|      109.4646|           10|            12|  71.1765|        0|
|avg_score_Q21 |  1.7104|      170.4106|           11|             5|  78.1176|        1|
|avg_score_Q24 |  1.6933|       67.0618|           12|            17|  74.5882|        0|
|avg_score_Q16 |  1.6404|       43.0653|           13|            20|  78.1765|        0|
|avg_score_Q34 |  1.4881|       30.4041|           14|            23|  76.2059|        0|
|avg_score_Q23 |  1.4259|       87.1715|           15|            15|  79.3529|        0|
|avg_score_Q36 |  1.3615|       60.2842|           16|            19|  75.0588|        0|
|avg_score_Q17 |  1.2085|      120.8800|           17|            10|  79.5588|        0|
|avg_score_Q19 |  1.1729|       89.9671|           18|            14|  76.8529|        0|
|avg_score_Q10 |  1.1318|       70.4094|           19|            16|  76.4412|        0|
|avg_score_Q32 |  1.0990|      134.1286|           20|             9|  74.0000|        0|
|avg_score_Q22 |  0.9258|       42.0610|           21|            21|  75.9118|        0|
|avg_score_Q9  |  0.9025|        4.9885|           22|            30|  77.0000|        0|
|avg_score_Q7  |  0.8294|       12.9422|           23|            28|  78.6765|        0|
|avg_score_Q38 |  0.8098|       14.6804|           24|            27|  80.7353|        1|
|avg_score_Q26 |  0.7454|      136.7084|           25|             8|  75.7353|        0|
|avg_score_Q31 |  0.4537|       22.2237|           26|            26|  74.1471|        0|
|avg_score_Q28 |  0.3816|       23.6785|           27|            25|  74.1471|        0|
|avg_score_Q18 |  0.1708|       34.8217|           28|            22|  74.8235|        0|
|avg_score_Q33 | -0.8296|       26.5693|           29|            24|  77.6765|        0|
|avg_score_Q27 | -0.8777|        5.7467|           30|            29|  75.2059|        0|
