"Term","Estimate","Std.Error","t.value","p.value"
"(Intercept)","    8151.","   NA","   NA",""
"avg_score_Q1","14.71","8.031","1.832","."
"avg_score_Q2","-58.35","9.482","-6.154","***"
"avg_score_Q3","-28.91","8.855","-3.265","**"
"avg_score_Q4","5.783","9.844","0.5875",""
"avg_score_Q5","64.08","9.440","6.789","***"
"avg_score_Q6","67.45","7.689","8.772","***"
"avg_score_Q7","-33.43","8.259","-4.048","***"
"avg_score_Q8","11.50","9.239","1.245",""
"avg_score_Q9","  -159.","11.56","-13.75","***"
"avg_score_Q10","-22.73","10.84","-2.098","*"
"avg_score_Q11","49.67","9.120","5.446","***"
"avg_score_Q12","5.435","8.313","0.6538",""
"avg_score_Q15","-33.15","9.108","-3.640","***"
"avg_score_Q16","-14.39","10.50","-1.370",""
"avg_score_Q17","95.08","10.01","9.500","***"
"avg_score_Q18","37.06","10.87","3.410","***"
"avg_score_Q19","-114.0","10.30","-11.07","***"
"avg_score_Q20","86.26","9.689","8.903","***"
"avg_score_Q21","3.272","10.60","0.3087",""
"avg_score_Q22","-54.42","9.075","-5.997","***"
"avg_score_Q23","32.77","10.88","3.013","**"
"avg_score_Q24","-55.38","9.201","-6.019","***"
"avg_score_Q25","67.47","10.46","6.448","***"
"avg_score_Q26","69.76","9.558","7.298","***"
"avg_score_Q27","0.9933","9.547","0.1040",""
"avg_score_Q28","-62.64","8.175","-7.663","***"
"avg_score_Q29","-27.14","10.09","-2.689","**"
"avg_score_Q30","65.78","9.587","6.861","***"
"X2023.Turnover","-10.16","0.9921","-10.24","***"
"MSP_sum","15.57","0.4501","34.59","***"
"workload","-16.95","0.2619","-64.70","***"
"shrinkage.....of.Sales","-175.6","29.51","-5.951","***"
"scaleUpscales","-414.1","386.8","-1.071",""
"clusterOffice - High Income (Upscale)","   -9904.","    1963.","-5.046","***"
"clusterOffice - Local (Wellcome)","    1955.","604.6","3.233","**"
"clusterResidential - High Income (Wellcome)","-312.7","73.68","-4.244","***"
"clusterResidential - Western & Top Income (Upscale)","-569.7","391.0","-1.457",""
"clusterTourist Border(Wellcome)","3704.","793.0","4.671","***"
"clusterUrban Hub - High Income (Upscale)","548.5","390.3","1.406",""
"clusterUrban Hub - Local (Wellcome)","638.8","81.04","7.882","***"
"workload:scaleUpscales","-13.63","3.559","-3.830","***"
"workload:clusterOffice - High Income (Upscale)","-28.30","11.67","-2.425","*"
"workload:clusterOffice - Local (Wellcome)","29.46","6.254","4.710","***"
"workload:clusterResidential - High Income (Wellcome)","-1.241","0.4901","-2.531","*"
"workload:clusterResidential - Western & Top Income (Upscale)","16.49","3.298","4.999","***"
"workload:clusterUrban Hub - High Income (Upscale)","15.57","3.731","4.173","***"
"workload:clusterUrban Hub - Local (Wellcome)","-10.76","0.6977","-15.42","***"
"X2023.Turnover:scaleUpscales","66.17","8.282","7.989","***"
"X2023.Turnover:clusterOffice - High Income (Upscale)","382.3","105.4","3.628","***"
"X2023.Turnover:clusterOffice - Local (Wellcome)","6.666","3.126","2.133","*"
"X2023.Turnover:clusterResidential - High Income (Wellcome)","-1.739","2.900","-0.5996",""
"X2023.Turnover:clusterResidential - Western & Top Income (Upscale)","-17.70","7.813","-2.266","*"
"X2023.Turnover:clusterUrban Hub - High Income (Upscale)","-78.98","8.936","-8.839","***"
"X2023.Turnover:clusterUrban Hub - Local (Wellcome)","-13.11","2.012","-6.517","***"
"shrinkage.....of.Sales:scaleUpscales","-291.2","430.1","-0.6771",""
"shrinkage.....of.Sales:clusterOffice - High Income (Upscale)","11940.","2909.","4.104","***"
"shrinkage.....of.Sales:clusterOffice - Local (Wellcome)","593.1","174.3","3.403","***"
"shrinkage.....of.Sales:clusterResidential - High Income (Wellcome)","448.8","76.83","5.841","***"
"shrinkage.....of.Sales:clusterResidential - Western & Top Income (Upscale)","-649.6","399.9","-1.625",""
"shrinkage.....of.Sales:clusterUrban Hub - High Income (Upscale)","839.7","446.5","1.880","."
"shrinkage.....of.Sales:clusterUrban Hub - Local (Wellcome)","854.8","90.89","9.405","***"
