"Term","Estimate","Std.Error","t.value","p.value"
"(Intercept)",2623.49398216396,522.281187645645,5.02314470484803,5.22153669115947e-07
"avg_score_Q1",11.120931821978,2.14069860455304,5.19500120116161,2.11072272430053e-07
"avg_score_Q2",-10.5503045882489,2.52740842780703,-4.17435681236655,3.02807050249283e-05
"avg_score_Q3",-5.0415587687017,2.36035108414003,-2.1359359641782,0.0327226193964028
"avg_score_Q4",-5.77883035050534,2.62393808513896,-2.20235011764742,0.0276762564115332
"avg_score_Q5",4.73788429446906,2.51633628791645,1.88285020456947,0.0597661660307277
"avg_score_Q6",4.21309085972867,2.0495719824703,2.05559545883854,0.039862166039156
"avg_score_Q7",-29.2596808304083,2.20150777745606,-13.2907460650533,8.82977839247724e-40
"avg_score_Q8",0.487238143873126,2.46281733054263,0.197837711238524,0.843178347723338
"avg_score_Q9",-4.3386055125431,3.08164808877267,-1.40788480305389,0.159213943634716
"avg_score_Q10",12.4337124602123,2.88819156391216,4.30501654238282,1.69474363329178e-05
"avg_score_Q11",14.7063207943872,2.43101828835467,6.04944885229166,1.5358290793229e-09
"avg_score_Q12",-7.11092331640206,2.21593250314539,-3.2089981559946,0.00133857930600882
"avg_score_Q15",-4.66941114691071,2.42785228123902,-1.92326822475696,0.0544908610223722
"avg_score_Q16",2.60092380139211,2.79974386317312,0.92898633893042,0.352931339017111
"avg_score_Q17",25.4889406629596,2.66791486934903,9.55388080624135,1.73892544160883e-21
"avg_score_Q18",17.326413811529,2.896745762084,5.98133741604712,2.33305971866953e-09
"avg_score_Q19",-22.0803273605013,2.74622669344509,-8.04024205765836,1.06041662954272e-15
"avg_score_Q20",30.2931818805443,2.58257271701065,11.7298466296852,1.88312217875661e-31
"avg_score_Q21",-0.333559476326796,2.82513658771459,-0.118068442346227,0.90601714760016
"avg_score_Q22",-9.02829751542249,2.41906621834576,-3.7321415374881,0.00019151086484943
"avg_score_Q23",-5.55869219594631,2.89964914777583,-1.91702234051664,0.0552797429309585
"avg_score_Q24",-20.4149062456306,2.45268517315234,-8.32349233774348,1.03512549536342e-16
"avg_score_Q25",32.9412204127559,2.78935711219851,11.8096102749613,7.46441763673769e-32
"avg_score_Q26",-14.7804412281646,2.54788816893431,-5.80105571680047,6.90599219133719e-09
"avg_score_Q27",0.67448632861413,2.54477917901008,0.265047094921809,0.790981751518564
"avg_score_Q28",-5.54251445469855,2.17904357850297,-2.54355374503631,0.0109965303720541
"avg_score_Q29",-14.5814903553546,2.69043761480287,-5.41974668921028,6.18712894257774e-08
"avg_score_Q30",1.99162876500079,2.55556000435496,0.779331638312868,0.435813311199202
"X2023.Turnover",-78.4739725392732,28.0940138272293,-2.79326311369629,0.00523348866151829
"MSP_sum",-1.83009785954599,0.119983301715405,-15.2529379787107,1.27278500596704e-51
"workload",13.010888743951,3.11353012555898,4.17882217909009,2.96939309043887e-05
"shrinkage.....of.Sales",-3833.98450531323,775.531728189429,-4.9436849144317,7.86197238620204e-07
"scaleUpscales",-1303.34209586108,103.105096940733,-12.6409084956321,3.40458793272745e-36
"clusterOffice - Local (Wellcome)",-1482.97808104994,540.399729617544,-2.74422432094753,0.00608238224341248
"clusterResidential - High Income (Wellcome)",-1692.92789742791,522.368529075572,-3.24086885636824,0.00119778042000128
"clusterResidential - Local (Wellcome)",-1951.50320402865,523.188824156205,-3.73001699181173,0.000193129376349416
"clusterResidential - Western & Top Income (Upscale)",-262.801161368646,513.512163970149,-0.511772027631896,0.60882829589783
"clusterTourist Border(Wellcome)",9141.13316402926,5140.27834049421,1.77833427657351,0.0753966182004813
"clusterUrban Hub - High Income (Upscale)",-789.508979636452,512.921148221639,-1.53924045123462,0.12379523630677
"clusterUrban Hub - Local (Wellcome)",-1914.53168915206,522.449005357415,-3.66453313054409,0.00024980290493806
"workload:scaleUpscales",-9.42012552317523,0.948619207138233,-9.93035503844962,4.51450400316606e-23
"workload:clusterOffice - Local (Wellcome)",-13.4481974919085,3.47633111201805,-3.86850304489601,0.00011059685267863
"workload:clusterResidential - High Income (Wellcome)",-15.4694837620579,3.11377649194536,-4.96807776732659,6.9382347707748e-07
"workload:clusterResidential - Local (Wellcome)",-14.7600519191749,3.11030961672612,-4.74552495989488,2.12502087023232e-06
"workload:clusterResidential - Western & Top Income (Upscale)",-6.43755163944773,2.97196568299928,-2.16609218480309,0.0303410884550368
"workload:clusterUrban Hub - High Income (Upscale)",-2.85657349230012,2.98806509114723,-0.955994399440401,0.339111313960816
"workload:clusterUrban Hub - Local (Wellcome)",-14.7471776810971,3.11805054876496,-4.7296146904797,2.29789042024271e-06
"X2023.Turnover:scaleUpscales",26.2415390122367,2.20774905619737,11.8861058681348,3.05608985958762e-32
"X2023.Turnover:clusterOffice - Local (Wellcome)",76.2920347463321,28.1075508201402,2.71428966666372,0.00665967544961323
"X2023.Turnover:clusterResidential - High Income (Wellcome)",81.8715896383334,28.0928390343541,2.91432238437043,0.00357701657798306
"X2023.Turnover:clusterResidential - Local (Wellcome)",77.0163703236528,28.0864808866144,2.74211534846851,0.00612152695794261
"X2023.Turnover:clusterResidential - Western & Top Income (Upscale)",54.7808961654837,28.0681105671751,1.95171299594168,0.0510160166594741
"X2023.Turnover:clusterUrban Hub - High Income (Upscale)",58.6334517116828,28.0885374769107,2.08745121599445,0.0368869772707947
"X2023.Turnover:clusterUrban Hub - Local (Wellcome)",78.572831989556,28.0917316684593,2.79700920245425,0.0051732672912119
"shrinkage.....of.Sales:scaleUpscales",1208.4072844682,114.636387702323,10.5412191424426,9.07859663680202e-26
"shrinkage.....of.Sales:clusterOffice - Local (Wellcome)",3505.95005602262,776.938169433377,4.51252132274505,6.52115159080435e-06
"shrinkage.....of.Sales:clusterResidential - High Income (Wellcome)",3728.67882742794,775.69420470193,4.80689272244947,1.5680854311456e-06
"shrinkage.....of.Sales:clusterResidential - Local (Wellcome)",3735.3678270867,775.542785644378,4.81645615977599,1.49506327927613e-06
"shrinkage.....of.Sales:clusterResidential - Western & Top Income (Upscale)",2673.52322070708,765.479389611633,3.49261293901524,0.00048156391201023
"shrinkage.....of.Sales:clusterUrban Hub - High Income (Upscale)",2465.67871984199,765.381451450554,3.22150310171356,0.00128160686613704
"shrinkage.....of.Sales:clusterUrban Hub - Local (Wellcome)",3867.8452486263,776.939462569321,4.97830968172916,6.58272877315024e-07
