Store,Aug-23,Sept-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sept-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,Total,Total 2
Grand Total,295,235,211,127,146,118,184,159,138,191,142,190,294,188,154,124,138,114,152,178,171,2135,1219
R01-A01-Causeway Bay,,,,,,,,,,1,,,,,,,,,,,,1,0
R01-A01-City Garden 2,,,1,,,,,,,,,,,,,,,,,,,1,0
R01-A01-Fitfort,,,,,,,,,,,,,,,,,,,,,,0,0
R01-A01-Fortress Metro Tower,,,,,,,,,,,,,,,,,,,,,,0,0
R01-A01-Gold Luck,2,,,,,,,,,,3,2,1,,,1,,1,1,,2,6,5
R01-A01-Happy Valley 2,,,1,,,1,,1,,,,,2,,1,1,,1,,,1,5,4
R01-A01-Healthy Village,,,2,,1,1,,,,,,,,1,,,1,,,,2,4,4
R01-A01-Island Lodge,,1,1,,,,,2,1,,,1,1,,,,1,,,,,7,1
R01-A01-Jaffe Road,,,,,,,,,,,,,,,1,,,,,,1,0,2
R01-A01-Mercury Street,,,,,,,1,,,,,1,,,,,,,,,,2,0
R01-A01-Metropole,3,3,,,2,,,,3,2,,,1,1,2,,1,,2,,,11,6
R01-A01-North Point,2,2,,3,2,1,2,3,1,,,6,2,,3,1,,1,3,2,,22,10
R01-A01-Park Vale,,,,,,1,,,,,,,,,,,,1,1,,,1,2
R01-A01-Victoria Centre,2,2,1,,,1,2,,1,1,,1,3,5,1,2,,1,,3,1,12,13
R01-A02-Cartwright Garden,,,2,,,,2,,,1,,,,,1,,,,,,1,5,2
R01-A02-Cheung Chau,4,,1,,1,1,1,,3,1,,,1,,,,,,,,1,9,1
R01-A02-Cheung Chau 2,,1,,1,,,,,,,1,1,1,,,,,2,1,,1,5,4
R01-A02-Hennessy Road,,,,,1,,,1,,,,,,,,1,,,,,,2,1
R01-A02-Kimley Commercial Building,1,2,1,,,1,,3,,,,2,,1,,1,1,,,,,9,3
R01-A02-Loon Kee Building,2,,,,,1,1,4,1,,2,3,,,2,1,,2,1,1,3,12,10
R01-A02-Luckifast?? Building,,2,4,3,3,3,2,2,1,,1,1,,4,2,1,,1,,,,22,8
R01-A02-Peng Chau,,,1,,1,,,,,1,,,,,,,,,,,,3,0
R01-A02-Sai Ying Pun,1,1,2,2,3,1,1,1,,,,,2,,1,1,,1,1,,2,13,6
R01-A02-Sheung Wan,,,,,,,,,,,,,,,,,,,,,,0,0
R01-A02-Silvermine Bay,,1,,,,,,,,,,,,,,,,,,,,1,0
R01-A02-Wan Chai,2,2,,,,,,,1,1,1,1,1,1,,1,,2,2,,2,7,8
R01-A02-Yee Ga Court,,,1,,,1,,,,,,,,,,,,,,,,2,0
R01-A03-Ap Lei Chau,1,1,2,,1,1,1,,,,,1,1,1,,1,1,1,,2,1,8,7
R01-A03-Belcher's Street,,,1,,,,,,,,,,,,,,,,,,,1,0
R01-A03-Ching Tak Building,1,,,,1,,1,1,,,,,2,2,,2,,,,,1,5,5
R01-A03-DDC Westwood,2,2,3,,,,,,,,,,1,,1,1,,,,,,6,2
R01-A03-Fullagar,4,,2,,2,,,2,,,1,2,1,2,,1,,,,,,10,3
R01-A03-Ka Wo,1,1,1,1,1,2,,,1,,,,2,,,,2,1,3,,2,9,8
R01-A03-Port Centre,3,1,1,1,,,,1,,,,1,2,1,,,,,,1,1,7,3
R01-A03-Princeton Tower,2,,2,1,,,1,,,,1,1,1,1,,1,,,1,,1,7,4
R01-A03-Shek Tong Tsui,1,,2,,,,,1,,,1,,2,,1,,,,,1,,6,2
R01-A03-Smithfield Terrace,,2,,,,,,,1,,,,,,,,,,,1,1,3,2
